"Shopee,Best Online Shopping Platform in Southeast Asia,E-Commerce"
"Tokopedia,Whatever you want and need, Just Open Tokopedia! Shopping? Just Open Tokopedia, E-Commerce"
"Twitter,Online news and social networking site, Hiburan"
"Facebook,Connect with friends family and other people you know. Share photos and videos send messages and get updates, Hiburan"
"Lazada,Number-one online shopping and selling destination in Southeast Asia, E-Commerce"
"Pinterest,Discover recipes, home ideas, style inspiration and other ideas to try, Hiburan"
"Tumblr,Express yourself discover yourself and bond over the stuff you love It's where your interests connect you with your people, Hiburan"
"Youtube,Enjoy the videos and music you love upload original content and share it all with friends family and the world on YouTube, Hiburan"
"Vlive,Watch the star's live broadcast! From anywhere in this world you can find out what your star is doing right now through V LIVE, Hiburan"
"Soundcloud,Explore the largest community of artists bands podcasters and creators of music & audio, Hiburan"
"Weverse,Together with the fans around the world Create fan posts and share beautiful photos for your favorite artists on Weverse, Hiburan"
"Elevenia,provides online and mobile service for e-commerce digital content and advertising and marketing businesses, E-Commerce"
"Instagram,Sign up to see photos videos stories & messages from your friends family & interests around the world, Hiburan"
"Dailymotion,The latest news sports music and entertainment videos, Hiburan"
"Netflix,Watch Netflix movies & TV shows online or stream right to your smart TV game console PC Mac mobile tablet and more, Hiburan"
"Viu,provides the latest premium Korean dramas, variety shows and other Asian programs anytime anywhere for FREE, Hiburan"
"Sociolla,online retailer of skin hair and beauty care products for men and women, E-Commerce"
"Althea,the most trusted source for the latest and best selection of Korean skin care and beauty products offering the lowest prices and shipped directly from South Korea, E-Commerce"
"Weibo,All the latest breaking news on Weibo Browse The Independent's complete collection of articles and commentary on Weibo, Hiburan"
"Line,new communication app which allows you to make FREE voice calls and send FREE messages whenever and wherever you are 24 hours a day, Hiburan"
"Kakaotalk,Now enjoy unlimited free calls with your KakaoTalk friends on your PC even with friends from overseas Voice calls and video calls are also available, Hiburan"
"Wechat,enjoy group chat support voice photo video and text messages, Hiburan"
"Tinder,Make every single moment count Tinder is more than a dating app It's a cultural movement, Hiburan"
"Tantan,a fun and easy way to connect you with the people you like, Hiburan"
"Webtoon,Get in on the latest original romance comedy action fantasy horror and more from big names and big names to be, Hiburan"
"JDid,Your Online Shopping Mall Enjoy your online shopping experience through official, E-commerce"
"Watsons,retailer of health and beauty products in Asia and now operates 3500 retail stores and more than 900 pharmaceutical retail stores, E-commerce"
"Jollychic,Shop Jollychic's boutique featuring emerging women's apparels, E-commerce"
"Zalora,largest and fastest growing fashion focused e-commerce site in Southeast Asia, E-Commerce"
"Pomelo,Shop the latest fashion at POMELO fashion, E-Commerce"
"Traveloka,Indonesian unicorn company that provides airline ticketing and hotel booking services online, E-Commerce"
